FNLP	UD	simp	0.89475	0.9651921043355658	0.8387961402971359
FNLP	UD	trad	0.8165	0.9206661053419403	0.7283694767226704
JIEBA	UD	simp	0.90755	0.9750483219117906	0.8571869931258207
JIEBA	UD	trad	0.87065	0.9337121212121212	0.8074145760440705
RANDOM	UD	simp	0.51915	0.6358850820842256	0.4256450071667463
RANDOM	UD	trad	0.51375	0.6326291079812206	0.41877838871623235
STANFORD_CTB	UD	simp	0.91615	0.9726381001548787	0.870811185578923
STANFORD_CTB	UD	trad	0.8302	0.9154487581816552	0.7504042334264295
STANFORD_PKU	UD	simp	0.88625	0.9529914529914529	0.827677624602333
STANFORD_PKU	UD	trad	0.78645	0.8945092139902219	0.6901704751541531
APERTIUM	UD	simp	0.5605	0.6342561025501159	0.5200134168157424
APERTIUM	UD	trad	0.56255	0.6330868145779199	0.527830241084324
FNLP	CTB	simp	0.9758522359791567	0.989744969615889	0.9617939225101719
FNLP	CTB	trad	0.8605941373964449	0.9223784656782327	0.7920646439514364
JIEBA	CTB	simp	0.9132764822061893	0.9538683228456591	0.8672195122527995
JIEBA	CTB	trad	0.8453007079683605	0.8709960543690549	0.781386227432184
RANDOM	CTB	simp	0.5253198599894586	0.6339861759832539	0.42951923523133323
RANDOM	CTB	trad	0.5251001523280711	0.6337512668109233	0.429388378878567
STANFORD_CTB	CTB	simp	0.97776550744168	0.9896344294331078	0.964826045206989
STANFORD_CTB	CTB	trad	0.853948463301291	0.9050550407923318	0.7858359388181951
STANFORD_PKU	CTB	simp	0.9472068360359177	0.9578833160115238	0.9190402595941473
STANFORD_PKU	CTB	trad	0.8226912837066883	0.8846092451696701	0.7441472773842563
APERTIUM	CTB	simp	0.5531586515590537	0.6264965524107154	0.5026756934510954
APERTIUM	CTB	trad	0.5527018552955931	0.6261844520245526	0.5022716520908834
JIEBA	CTB	letrad	0.8479642289670458	0.87209578121294	0.7850042508486681

APERTIUM	CTB	simp	0.5230222523056096	0.5778289490150927	0.451692428096263
JIEBA	CTB	simp	0.900093070479736	0.9522597881746764	0.8352862403749581
RANDOM	CTB	simp	0.5175057111430748	0.5882424169037961	0.40529773699030136
STANFORD_CTB	CTB	simp	0.9887469329046451	0.9960525540564426	0.9807117788670708
STANFORD_PKU	CTB	simp	0.959421270835096	0.9753295836681248	0.9318207665188218
CTB	CTB	test	1.0	1.0	1.0
CTB	CTB	train	0.5104323546831373	0.012371036530587156	0.01225728875493855
APERTIUM	CTB	simp	0.5230222523056096	0.5778289490150927	0.451692428096263
CTB	CTB	train	0.5104323546831373	0.012371036530587156	0.01225728875493855
FNLP	CTB	simp	0.9884931043235469	0.9973700540764162	0.9802509293680297
JIEBA	CTB	simp	0.900093070479736	0.9522597881746764	0.8352862403749581
RANDOM	CTB	simp	0.5157289110753871	0.5866557684739503	0.40375440131674895
STANFORD_CTB	CTB	simp	0.9887469329046451	0.9960525540564426	0.9807117788670708
STANFORD_PKU	CTB	simp	0.959421270835096	0.9753295836681248	0.9318207665188218
